barcode	median_alnlen	median_querylen	median_IDfrac	mapped_reads	total_reads	total_filtered_reads	pct_mapped	nfilt	pct_filt
barcode09	1360	2031.5	0.9631755	2	4	2	100	0	0
barcode92	1365	1544	0.980645	114618	117786	114619	100	15642	13.65
barcode44	1358	1549	0.980205	106486	108278	106486	100	11767	11.05
barcode68	1362	1547	0.981075	106630	108271	106630	100	8421	7.9
barcode67	1360	1540	0.980597	117957	119983	117957	100	12170	10.32
barcode19	1362	1551	0.980191	127207	130267	127209	100	18303	14.39
barcode32	1358	1549	0.979941	143858	145885	143859	100	16525	11.49
barcode08	1367	1543	0.98	75679	77587	75679	100	9983	13.19
barcode56	1361	1547	0.981008	123796	125969	123796	100	11124	8.99
barcode55	1360	1541	0.980392	80194	81986	80196	100	9814	12.24
barcode30	1369	1548	0.979775	136630	140842	136630	100	20577	15.06
barcode42	1369	1547	0.980321	123037	126046	123038	100	15256	12.4
barcode07	1362	1551	0.980205	125442	127984	125443	100	15581	12.42
barcode20	1367	1544	0.980118	128584	131565	128584	100	16363	12.73
barcode90	1362	1543	0.980061	111014	114062	111014	100	14324	12.9
barcode43	1371	1547	0.980422	137438	139941	137438	100	13605	9.9
barcode66	1342	1536	0.97083	144153	146574	144153	100	30774	21.35
barcode79	1360	1538	0.980449	109870	111971	109870	100	11696	10.65
barcode31	1370	1546	0.980138	132234	135319	132236	100	17135	12.96
barcode80	1368	1546	0.980406	121960	124944	121960	100	15315	12.56
barcode78	1363	1544	0.980176	132759	135716	132761	100	16781	12.64
barcode54	1343	1536	0.970926	121156	123279	121156	100	26323	21.73
barcode91	1360	1537	0.980378	135080	136941	135081	100	12637	9.36
