barcode	median_alnlen	median_querylen	median_IDfrac	mapped_reads	total_reads	total_filtered_reads	pct_mapped	nfilt	pct_filt
barcode85	1375	1540	0.95949	100582	105708	100582	100	1892	1.88
barcode40	1363	1541	0.962016	75281	77357	75281	100	278	0.37
barcode26	1368	1535	0.959848	131499	138744	131500	100	2334	1.77
barcode05	1361	1539	0.958944	119387	124741	119388	100	1627	1.36
barcode73	1375	1539	0.960898	159513	165853	159513	100	1837	1.15
barcode13	1364	1538	0.960145	99669	103595	99671	100	1389	1.39
barcode49	1376	1541	0.960231	92385	96066	92387	100	1120	1.21
barcode01	1364	1538	0.959757	101121	105530	101122	100	1679	1.66
barcode86	1375	1540	0.958801	188327	197131	188331	100	3267	1.73
barcode53	1365	1517	0.94883	15	19	15	100	0	0
barcode04	1373	1539	0.96044	158639	165138	158673	99.98	1891	1.19
barcode37	1358	1533	0.955267	105603	110002	105606	100	2211	2.09
barcode38	1368	1534	0.960843	110316	116121	110318	100	1199	1.09
barcode14	1370	1536	0.960714	239202	251410	239210	100	3307	1.38
barcode63	1376	1540	0.960265	144695	150782	144696	100	1352	0.93
barcode02	1370	1536	0.959766	192666	203262	192673	100	2431	1.26
barcode88	1366	1538	0.96	129488	134529	129489	100	1478	1.14
barcode62	1369	1546	0.956364	117468	121762	117468	100	916	0.78
barcode65	1369	1533	0.961338	126636	132252	126638	100	1614	1.27
barcode29	1366	1542	0.962034	129503	133833	129509	100	591	0.46
barcode15	1356	1531	0.958242	122440	127261	122442	100	1782	1.46
barcode50	1369	1547	0.956236	135833	140942	135835	100	1115	0.82
barcode03	1356	1529	0.958364	108807	113664	108813	99.99	1707	1.57
barcode61	1376	1541	0.961009	98926	102778	98930	100	1040	1.05
barcode64	1370	1538	0.961257	109425	113447	109431	99.99	590	0.54
barcode28	1363	1539	0.962278	95901	98785	95907	99.99	355	0.37
barcode27	1374	1539	0.960432	119859	124140	119862	100	1315	1.1
barcode87	1354	1529	0.957818	109773	114685	109775	100	1791	1.63
barcode25	1358	1533	0.95585	102017	106053	102018	100	2014	1.97
barcode76	1366	1538	0.960448	113752	117694	113752	100	1077	0.95
barcode17	1361	1537	0.959361	96837	100578	96840	100	1198	1.24
barcode16	1373	1539	0.960784	142750	148392	142773	99.98	1459	1.02
barcode74	1375	1540	0.960841	126002	130172	126002	100	1083	0.86
barcode51	1376	1540	0.961484	131417	136623	131418	100	933	0.71
barcode52	1370	1539	0.961314	120634	125370	120641	99.99	915	0.76
barcode39	1374	1538	0.960898	126019	130999	126021	100	1221	0.97
barcode75	1355	1529	0.958457	119881	124756	119883	100	1488	1.24
barcode41	1366	1540	0.962472	113998	117742	114010	99.99	591	0.52
